cultivo,fecha,volumen_kg,precio_unitario
Palta,2023-01-15,4500.0,4.20
Mango,2023-01-20,6000.0,3.10
Arándanos,2023-01-25,1200.0,14.50
Palta,2023-02-15,4600.0,4.10
Mango,2023-02-20,6200.0,3.00
Arándanos,2023-02-25,1100.0,14.80
Palta,2023-03-15,4800.0,4.00
Mango,2023-03-20,5800.0,3.20
Arándanos,2023-03-25,1300.0,14.20
Palta,2023-04-15,5000.0,3.90
Mango,2023-04-20,5500.0,3.40
Arándanos,2023-04-25,1400.0,14.00
Palta,2023-05-15,5200.0,3.80
Mango,2023-05-20,5000.0,3.50
Arándanos,2023-05-25,1500.0,13.80
Palta,2023-06-15,5500.0,3.70
Mango,2023-06-20,4000.0,3.80
Arándanos,2023-06-25,1600.0,13.50
Palta,2023-07-15,5800.0,3.60
Mango,2023-07-20,3000.0,4.00
Arándanos,2023-07-25,1800.0,13.00
Palta,2023-08-15,6000.0,3.50
Mango,2023-08-20,2000.0,4.50
Arándanos,2023-08-25,2000.0,12.50
Palta,2023-09-15,5500.0,3.80
Mango,2023-09-20,1500.0,5.00
Arándanos,2023-09-25,2200.0,12.00
Palta,2023-10-15,5000.0,4.00
Mango,2023-10-20,2500.0,4.80
Arándanos,2023-10-25,2100.0,12.20
Palta,2023-11-15,4800.0,4.20
Mango,2023-11-20,3500.0,4.50
Arándanos,2023-11-25,1900.0,12.80
Palta,2023-12-15,4600.0,4.50
Mango,2023-12-20,5000.0,4.00
Arándanos,2023-12-25,1500.0,13.50
Palta,2024-01-15,4700.0,4.30
Mango,2024-01-20,6100.0,3.20
Arándanos,2024-01-25,1250.0,14.60
Palta,2024-02-15,4800.0,4.20
Mango,2024-02-20,6300.0,3.10
Arándanos,2024-02-25,1150.0,14.90
Palta,2024-03-15,5000.0,4.10
Mango,2024-03-20,5900.0,3.30
Arándanos,2024-03-25,1350.0,14.30
Palta,2024-04-15,5200.0,4.00
Mango,2024-04-20,5600.0,3.50
Arándanos,2024-04-25,1450.0,14.10
Palta,2024-05-15,5400.0,3.90
Mango,2024-05-20,5100.0,3.60
Arándanos,2024-05-25,1550.0,13.90
Palta,2024-06-15,5700.0,3.80
Mango,2024-06-20,4100.0,3.90
Arándanos,2024-06-25,1650.0,13.60
Palta,2024-07-15,6000.0,3.70
Mango,2024-07-20,3100.0,4.10
Arándanos,2024-07-25,1900.0,13.10
Palta,2024-08-15,6200.0,3.60
Mango,2024-08-20,2100.0,4.60
Arándanos,2024-08-25,2100.0,12.60
Palta,2024-09-15,5800.0,3.90
Mango,2024-09-20,1600.0,5.20
Arándanos,2024-09-25,2300.0,12.10
Palta,2024-10-15,5200.0,4.10
Mango,2024-10-20,2800.0,4.90
Arándanos,2024-10-25,2200.0,12.30